City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ushuaia,-54.8,-68.3,7.79,57,40,5.66,AR,1682445682
83,bredasdorp,-34.5322,20.0403,15.4,77,14,1.04,ZA,1682445802
84,zaozersk,69.4005,32.4476,-3.28,84,34,5.31,RU,1682445802
85,guerrero negro,27.9769,-114.0611,19.12,56,70,4.74,MX,1682445803
86,namibe,-15.1961,12.1522,24.04,77,58,2.85,AO,1682445803
87,ondjiva,-17.0667,15.7333,24.71,51,38,2.12,AO,1682445803
88,vernon,50.2581,-119.2691,15.62,46,99,1.54,CA,1682445609
89,pirane,-25.7324,-59.1088,21.07,85,95,0.67,AR,1682445803
90,zyrya,40.3661,50.2917,15.05,79,100,8.0,AZ,1682445804
91,vryburg,-26.9566,24.7284,20.06,40,0,3.94,ZA,1682445804
92,afaahiti,-17.75,-149.2833,23.93,86,100,6.72,PF,1682445804
93,maumere,-8.6199,122.2111,26.39,85,88,3.41,ID,1682445805
94,wailua homesteads,22.0669,-159.378,22.29,81,87,1.79,US,1682445805
95,la ronge,55.1001,-105.2842,4.14,56,100,5.66,CA,1682445800
96,carauari,-4.8828,-66.8958,29.0,69,87,1.27,BR,1682445805
97,naldurg,17.8167,76.3,29.4,41,47,8.43,IN,1682445805
98,urucara,-2.5364,-57.76,25.62,94,75,0.99,BR,1682445806
99,kodiak,57.79,-152.4072,1.26,99,100,4.85,US,1682445806
100,ardakan,32.31,54.0175,19.69,52,75,2.4,IR,1682445806
101,lata,40.1629,-8.3327,22.73,54,75,3.26,PT,1682445806
102,beaufort,5.3473,115.7455,24.0,95,99,1.35,MY,1682445807
103,solleftea,63.1667,17.2667,-0.03,96,100,2.6,SE,1682445807
104,shipunovo,52.1582,82.2173,4.93,53,88,6.43,RU,1682445807
105,jamestown,42.097,-79.2353,9.45,45,100,5.66,US,1682445629
106,talnakh,69.4865,88.3972,1.23,85,84,2.74,RU,1682445808
107,albacete,38.8333,-2.0,27.45,17,0,5.66,ES,1682445808
108,kalemie,-5.9475,29.1947,22.69,84,63,1.61,CD,1682445808
109,revelstoke,50.9832,-118.2023,10.01,66,75,2.06,CA,1682445808
110,sikonge,-5.6333,32.7667,19.98,86,71,2.12,TZ,1682445809
111,ust-nera,64.5667,143.2,-12.55,99,83,2.09,RU,1682445809
112,albany,42.6001,-73.9662,12.1,55,69,2.74,US,1682445773
113,arkhangel'sk,64.5401,40.5433,3.06,70,40,1.0,RU,1682445605
114,chinde,26.8418,88.0763,16.69,50,81,2.68,NP,1682445810
115,codrington,-38.2667,141.9667,15.23,68,55,3.56,AU,1682445810
116,happy valley-goose bay,53.3168,-60.3315,12.17,43,40,3.6,CA,1682445810
117,beau vallon,-20.4189,57.6953,25.13,88,75,1.03,MU,1682445605
118,ta`u,-14.2336,-169.5144,27.42,72,45,2.13,AS,1682445811
119,luderitz,-26.6481,15.1594,17.67,82,0,6.85,NA,1682445811
120,hamilton,39.1834,-84.5333,14.96,39,92,1.34,US,1682445610
121,longyearbyen,78.2186,15.6401,-4.09,58,0,1.03,SJ,1682445711
122,yilan,24.757,121.753,22.23,99,100,1.46,TW,1682445812
123,lianjiang,21.6467,110.2817,18.56,77,100,3.51,CN,1682445812
124,kapuskasing,49.4169,-82.4331,0.05,86,100,4.63,CA,1682445812
125,port mathurin,-19.6833,63.4167,26.2,79,14,9.0,MU,1682445812
126,edinburgh of the seven seas,-37.0676,-12.3116,15.34,61,63,11.49,SH,1682445812
127,ribeira brava,32.65,-17.0667,22.85,72,49,1.28,PT,1682445813
128,stanley,54.868,-1.6985,6.55,62,20,3.6,GB,1682445813
129,tobelo,1.7284,128.0095,26.23,83,22,0.76,ID,1682445813
130,erenhot,43.6475,111.9767,4.25,15,69,5.72,CN,1682445814
131,freetown,8.484,-13.2299,29.84,70,20,8.75,SL,1682445814
132,port alfred,-33.5906,26.891,20.1,94,96,1.79,ZA,1682445814
133,khandyga,62.6667,135.6,-7.27,97,94,1.13,RU,1682445815
134,taulaga,-11.0553,-171.0883,28.46,74,100,3.14,AS,1682445815
135,new norfolk,-42.7826,147.0587,13.72,68,0,1.47,AU,1682445815
136,hammerfest,70.6634,23.6821,1.25,69,75,0.0,NO,1682445815
137,iqaluit,63.7506,-68.5145,-0.15,100,75,1.54,CA,1682445723
138,galliano,29.4422,-90.2992,26.0,61,40,4.12,US,1682445816
139,iida,35.5197,137.8207,8.91,100,100,1.18,JP,1682445816
140,ternate,0.8,127.4,27.2,81,26,1.19,ID,1682445816
141,arkalyk,50.2486,66.9114,14.09,42,0,1.52,KZ,1682445817
142,sisimiut,66.9395,-53.6735,0.7,100,100,2.43,GL,1682445817
143,saint-philippe,-21.3585,55.7679,24.77,82,46,0.48,RE,1682445817
144,la passe,45.5549,-0.8967,14.13,90,100,3.56,FR,1682445818
145,banda aceh,5.5577,95.3222,26.9,81,44,2.66,ID,1682445818
146,cabo san lucas,22.8909,-109.9124,28.67,71,2,0.45,MX,1682445636
147,barah,13.7,30.3667,36.32,11,40,5.45,SD,1682445819
148,kiruna,67.8557,20.2251,-1.49,43,100,6.17,SE,1682445819
149,ovalle,-30.5983,-71.2003,25.98,38,15,2.27,CL,1682445820
150,taoudenni,22.6783,-3.9836,36.49,7,1,6.15,ML,1682445820
151,arraial do cabo,-22.9661,-42.0278,27.98,69,20,6.69,BR,1682445820
152,broome,42.2506,-75.833,10.39,54,100,4.47,US,1682445820
153,saipan,15.1355,145.701,27.39,100,75,8.05,MP,1682445821
154,westport,41.1415,-73.3579,15.73,47,0,3.6,US,1682445768
155,petropavlovsk-kamchatsky,53.0452,158.6483,-0.67,74,75,2.0,RU,1682445821
156,az zawr,29.4425,48.2747,29.45,46,2,3.22,KW,1682445821
